"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
34314, 6.769356999999999e-02, -2.684643000000000e-02, 9.942725519695413e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.784199813596169e+00, 1.000000000000000e-10, 8.499191130916926e+04, 3.723194943630810e-01, 8.966909263729625e+02
34580, 8.027829000000000e-02, -2.777517000000000e-02, 9.941605290322386e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.784194803876370e+00, 1.000000000000000e-10, 8.503193820665387e+04, 3.739472626850874e-01, 8.921771068372138e+02
34846, 9.434394000000000e-02, -2.845331000000000e-02, 9.942576792709631e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.784317153084819e+00, 1.000000000000000e-10, 8.500872767284530e+04, 3.746284654723332e-01, 8.883829184182271e+02
35112, 1.100533500000000e-01, -2.886669000000000e-02, 9.945052062171644e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.784542500347767e+00, 1.000000000000000e-10, 8.500241106536324e+04, 3.743928398083359e-01, 8.850276367968843e+02
35378, 1.275898600000000e-01, -2.899952000000000e-02, 9.948413990374251e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.784855836545570e+00, 1.000000000000000e-10, 8.494869387455817e+04, 3.736070731670056e-01, 8.821085678766406e+02
35644, 1.471592000000000e-01, -2.883601000000000e-02, 9.952178511323333e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.785237180502157e+00, 1.000000000000000e-10, 8.491243567194922e+04, 3.720575517211101e-01, 8.797313726224277e+02
35910, 1.689930700000000e-01, -2.836244000000000e-02, 9.956090982059728e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.785678818978236e+00, 1.000000000000000e-10, 8.487226355758382e+04, 3.699589462196231e-01, 8.779596102371789e+02
36176, 1.933300100000000e-01, -2.757076000000000e-02, 9.959907723308350e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.786162813557023e+00, 1.000000000000000e-10, 8.482406889457005e+04, 3.684664833545439e-01, 8.768970809289732e+02
36442, 2.186970600000000e-01, -2.653899000000000e-02, 9.963296713868737e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.786631515764337e+00, 1.000000000000000e-10, 8.480730219805177e+04, 3.677177851154320e-01, 8.763838475917581e+02
36708, 2.440581900000000e-01, -2.537023000000000e-02, 9.966156780089912e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.787067571730301e+00, 1.000000000000000e-10, 8.477899962778986e+04, 3.677615461468394e-01, 8.761643332383355e+02
