x,y,cp,yplus,cf,source,surface
0.7587565,0.03567566,-0.16400152,0.9434884,0.0033869168,SU2,upper
0.7605788,-0.02472119,0.03175923,1.053737,0.004230547,SU2,lower
0.79283005,0.03117159,-0.12543939,0.94029635,0.003365072,SU2,upper
0.79437125,-0.0217508,0.040451508,1.0509691,0.004206606,SU2,lower
0.8263197,0.02658215,-0.086398244,0.9349408,0.003328688,SU2,upper
0.8275917,-0.018673,0.049851187,1.0456933,0.004170624,SU2,lower
0.8584253,0.02202861,-0.044936858,0.92786604,0.003283839,SU2,upper
0.85944617,-0.01557249,0.06255906,1.0406543,0.004129694,SU2,lower
0.88919646,0.01751898,-0.00279751,0.9184087,0.003220857,SU2,upper
0.88998306,-0.01245911,0.07598425,1.0315859,0.004058411,SU2,lower
0.918688,0.01305822,0.045015235,0.9090193,0.00316171,SU2,upper
0.91925615,-0.00933998,0.0961994,1.0212401,0.003984388,SU2,lower
0.9469525,0.00864985,0.09528379,0.902191,0.0031199218,SU2,upper
0.94731736,-0.00622075,0.11770153,1.007485,0.0038826994,SU2,lower
0.97404045,0.00429646,0.15934914,0.8553184,0.0028106903,SU2,upper
0.97421616,-0.00310609,0.1730007,1.1270475,0.0048604873,SU2,lower
-0.00065,0.00411,0.05199,,0.021931,xfoil,upper
-0.00058,0.00593,-0.18839,,0.020714,xfoil,upper
-0.00051,0.0023,0.32769,,0.018754,xfoil,upper
-0.0003,0.00779,-0.44278,,0.023458,xfoil,upper
-0.00013,0.00045,0.56213,,0.014817,xfoil,upper
0.0002,0.00973,-0.66889,,0.021137,xfoil,upper
0.00052,-0.00142,0.75883,,0.011773,xfoil,lower
0.00093,0.01173,-0.86397,,0.02064,xfoil,upper
0.00144,-0.00328,0.91112,,0.007166,xfoil,lower
0.00189,0.01378,-1.02645,,0.018913,xfoil,upper
0.00265,-0.00508,0.98861,,0.002945,xfoil,lower
0.00308,0.01586,-1.16893,,0.017988,xfoil,upper
0.00414,-0.00679,1.01019,,8.3e-05,xfoil,lower
0.00451,0.01799,-1.27595,,0.015924,xfoil,upper
0.00593,-0.00843,0.99112,,0.002412,xfoil,lower
0.00619,0.02019,-1.36774,,0.014869,xfoil,upper
